"Competition" "foc_specie" "comp_specie" "n_replicate" "Biomasse"
"775" 2 "cre.bie" "dac.glo" 2 0.15
"776" 2 "dac.glo" "cre.bie" 2 2.85
"777" 2 "cre.bie" "tar.off" 1 1.16
"778" 2 "tar.off" "cre.bie" 1 0.94
"779" 2 "cre.bie" "tar.off" 2 0.06
"780" 2 "tar.off" "cre.bie" 2 1.74
"827" 2 "pru.gra" "lol.per" 1 0.1
"828" 2 "lol.per" "pru.gra" 1 3.61
"829" 2 "pru.gra" "lol.per" 2 0.05
"830" 2 "lol.per" "pru.gra" 2 3
"835" 2 "pru.gra" "ant.odo" 1 0.01
"836" 2 "ant.odo" "pru.gra" 1 2.75
"837" 2 "pru.gra" "ant.odo" 2 0.12
"838" 2 "ant.odo" "pru.gra" 2 1.76
"839" 2 "pru.gra" "dac.glo" 1 0.16
"840" 2 "dac.glo" "pru.gra" 1 1.81
"841" 2 "pru.gra" "tar.off" 1 0.07
"842" 2 "tar.off" "pru.gra" 1 0.7
"843" 2 "pru.gra" "tar.off" 2 0.01
"844" 2 "tar.off" "pru.gra" 2 2.46
"917" 2 "lol.per" "ant.odo" 1 2.17
"918" 2 "ant.odo" "lol.per" 1 0.001
"919" 2 "lol.per" "ant.odo" 2 3.7
"920" 2 "ant.odo" "lol.per" 2 0.58
"921" 2 "lol.per" "dac.glo" 1 0.001
"922" 2 "dac.glo" "lol.per" 1 3.51
"923" 2 "lol.per" "dac.glo" 2 1.91
"924" 2 "dac.glo" "lol.per" 2 3.32
"925" 2 "lol.per" "tar.off" 1 3.47
"926" 2 "tar.off" "lol.per" 1 0.17
"927" 2 "lol.per" "tar.off" 2 6.18
"928" 2 "tar.off" "lol.per" 2 0.05
"941" 2 "ant.odo" "dac.glo" 1 1.16
"942" 2 "dac.glo" "ant.odo" 1 3.53
"943" 2 "ant.odo" "dac.glo" 2 0.31
"944" 2 "dac.glo" "ant.odo" 2 3.21
"945" 2 "ant.odo" "tar.off" 1 0.44
"946" 2 "tar.off" "ant.odo" 1 0.38
"947" 2 "ant.odo" "tar.off" 2 1.35
"948" 2 "tar.off" "ant.odo" 2 0.46
"949" 2 "dac.glo" "tar.off" 1 3.41
"950" 2 "tar.off" "dac.glo" 1 0.16
"951" 2 "dac.glo" "tar.off" 2 2.07
"952" 2 "tar.off" "dac.glo" 2 0.13
